,name,continent,y,date,isUpdated,confirmAdd,confirmAddCut,confirm,suspect,dead,heal,nowConfirm,confirmCompare,nowConfirmCompare,healCompare,deadCompare
0,美国,北美洲,2021,08.31,True,3051,0,39668541,0,654696,30826478,8187367,0,0,0,0
1,印度,亚洲,2021,08.30,False,42909,0,32737939,0,438210,30974748,1324981,0,0,0,0
2,巴西,南美洲,2021,08.30,False,13210,0,20741815,0,579308,17771228,2391279,0,0,0,0
3,法国,欧洲,2021,08.30,False,13630,0,6827146,0,114506,415111,6297529,0,0,0,0
4,俄罗斯,欧洲,2021,08.30,False,0,0,6785465,0,178457,5629581,977427,0,0,0,0
5,英国,欧洲,2021,08.30,False,32979,0,6762904,0,132760,24692,6605452,0,0,0,0
6,土耳其,亚洲,2021,08.30,False,0,0,6329519,0,55958,5478185,795376,0,0,0,0
7,阿根廷,南美洲,2021,08.30,False,2073,0,5173531,0,111383,4615834,446314,0,0,0,0
8,伊朗,亚洲,2021,08.30,False,0,0,4926964,0,106482,3467765,1352717,0,0,0,0
9,哥伦比亚,南美洲,2021,08.30,False,1954,0,4905258,0,124811,4615354,165093,0,0,0,0
10,西班牙,欧洲,2021,08.31,True,0,0,4831809,0,84000,4258193,489616,0,0,0,0
11,意大利,欧洲,2021,08.30,False,5954,0,4530246,0,129093,4144608,256545,0,0,0,0
12,印度尼西亚,亚洲,2021,08.30,False,0,0,4073831,0,131923,2947646,994262,0,0,0,0
13,德国,欧洲,2021,08.30,False,5796,0,3940212,0,92146,3659410,188656,0,0,0,0
14,墨西哥,北美洲,2021,08.30,False,6837,0,3335700,0,258165,2270427,807108,0,0,0,0
15,波兰,欧洲,2021,08.30,False,0,0,2888231,0,75340,2654097,158794,0,0,0,0
16,南非,非洲,2021,08.30,False,7740,0,2764931,0,81595,2258603,424733,0,0,0,0
17,乌克兰,欧洲,2021,08.30,False,0,0,2381553,0,56900,2259446,65207,0,0,0,0
18,秘鲁,南美洲,2021,09.01,True,7448,0,2149591,0,198263,1720665,230663,0,0,0,0
19,荷兰,欧洲,2021,08.30,False,69,0,1971713,0,18342,28771,1924600,0,0,0,0
20,菲律宾,亚洲,2021,08.30,False,0,0,1954023,0,33109,1627816,293098,0,0,0,0
21,伊拉克,亚洲,2021,08.30,False,0,0,1874435,0,20699,1502221,351515,0,0,0,0
22,马来西亚,亚洲,2021,08.30,False,0,0,1706089,0,16087,976626,713376,0,0,0,0
23,捷克,欧洲,2021,08.30,False,0,0,1678862,0,30402,1641485,6975,0,0,0,0
24,智利,南美洲,2021,08.30,False,595,0,1637829,0,36885,1575377,25567,0,0,0,0
25,加拿大,北美洲,2021,08.30,False,957,0,1497283,0,26954,1406063,64266,0,0,0,0
26,孟加拉,亚洲,2021,08.30,False,3948,0,1493537,0,26015,1156943,310579,0,0,0,0
27,日本本土,亚洲,2021,08.30,False,195,0,1460303,0,15969,858305,586029,0,0,0,0
28,比利时,欧洲,2021,08.30,False,0,0,1177909,0,25360,0,1152549,0,0,0,0
29,泰国,亚洲,2021,08.30,False,0,0,1174091,0,11143,26873,1136075,0,0,0,0
30,巴基斯坦,亚洲,2021,08.30,False,3800,0,1156281,0,25670,952616,177995,0,0,0,0
31,瑞典,欧洲,2021,08.30,False,0,0,1123413,0,14685,0,1108728,0,0,0,0
32,罗马尼亚,欧洲,2021,08.30,False,0,0,1096753,0,34528,1048215,14010,0,0,0,0
33,以色列,亚洲,2021,08.30,False,4861,0,1051609,0,6989,855703,188917,0,0,0,0
34,葡萄牙,欧洲,2021,08.30,False,0,0,1034947,0,17721,912620,104606,0,0,0,0
35,哈萨克斯坦,亚洲,2021,08.30,False,5285,0,854842,0,12655,555079,287108,0,0,0,0
36,摩洛哥,非洲,2021,08.30,False,3841,0,853373,0,12437,582692,258244,0,0,0,0
37,匈牙利,欧洲,2021,08.30,False,0,0,811706,0,30057,750955,30694,0,0,0,0
38,约旦,亚洲,2021,08.30,False,811,0,795161,0,10383,753006,31772,0,0,0,0
39,瑞士,欧洲,2021,08.30,False,0,0,770765,0,10965,317600,442200,0,0,0,0
40,尼泊尔,亚洲,2021,08.30,False,0,0,759222,0,10714,663663,84845,0,0,0,0
41,塞尔维亚,欧洲,2021,08.30,False,0,0,757617,0,7266,0,750351,0,0,0,0
42,阿联酋,亚洲,2021,08.30,False,0,0,716381,0,2038,665593,48750,0,0,0,0
43,奥地利,欧洲,2021,08.30,False,0,0,685956,0,10781,644840,30335,0,0,0,0
44,突尼斯,非洲,2021,08.30,False,0,0,660587,0,23369,530545,106673,0,0,0,0
45,古巴,北美洲,2021,08.30,False,6277,0,640438,0,5144,382141,253153,0,0,0,0
46,黎巴嫩,亚洲,2021,08.30,False,1153,0,600451,0,8044,537653,54754,0,0,0,0
47,希腊,欧洲,2021,08.30,False,1581,0,581315,0,13581,93764,473970,0,0,0,0
48,沙特阿拉伯,亚洲,2021,08.30,False,0,0,543318,0,8512,507374,27432,0,0,0,0
49,格鲁吉亚,亚洲,2021,08.30,False,0,0,543118,0,7251,393453,142414,0,0,0,0
50,厄瓜多尔,南美洲,2021,08.30,False,91,0,501140,0,32232,443880,25028,0,0,0,0
51,玻利维亚,南美洲,2021,08.30,False,254,0,490056,0,18411,411830,59815,0,0,0,0
52,白俄罗斯,欧洲,2021,08.30,False,0,0,479306,0,3757,444613,30936,0,0,0,0
53,危地马拉,北美洲,2021,08.30,False,1306,0,465059,0,11858,331374,121827,0,0,0,0
54,巴拉圭,南美洲,2021,08.30,False,43,0,458334,0,15723,423964,18647,0,0,0,0
55,巴拿马,北美洲,2021,08.30,False,463,0,456666,0,7046,420113,29507,0,0,0,0
56,哥斯达黎加,北美洲,2021,08.30,False,0,0,455784,0,5431,334759,115594,0,0,0,0
57,保加利亚,欧洲,2021,08.30,False,451,0,451599,0,18731,398721,34147,0,0,0,0
58,越南,亚洲,2021,08.30,False,0,0,435265,0,10749,54332,370184,0,0,0,0
59,斯里兰卡,亚洲,2021,08.30,False,4612,0,426169,0,8775,286365,131029,0,0,0,0
60,阿塞拜疆,亚洲,2021,08.30,False,0,0,417996,0,5553,333694,78749,0,0,0,0
61,科威特,亚洲,2021,08.30,False,189,0,409552,0,2417,388880,18255,0,0,0,0
62,斯洛伐克,欧洲,2021,08.30,False,0,0,394742,0,12548,255300,126894,0,0,0,0
63,缅甸,亚洲,2021,08.30,False,0,0,392300,0,15183,230308,146809,0,0,0,0
64,乌拉圭,南美洲,2021,08.30,False,70,0,384692,0,6029,374203,4460,0,0,0,0
65,克罗地亚,欧洲,2021,08.30,False,0,0,373191,0,8325,355000,9866,0,0,0,0
66,多米尼加,北美洲,2021,08.30,False,239,0,349859,0,4007,324861,20991,0,0,0,0
67,爱尔兰,欧洲,2021,08.30,False,0,0,349773,0,5092,23364,321317,0,0,0,0
68,丹麦,欧洲,2021,08.30,False,5,0,345421,0,2582,308171,34668,0,0,0,0
69,巴勒斯坦,亚洲,2021,08.30,False,1696,0,337405,0,3672,312320,21413,0,0,0,0
70,洪都拉斯,北美洲,2021,08.30,False,0,0,335398,0,8832,102384,224182,0,0,0,0
71,委内瑞拉,南美洲,2021,08.30,False,953,0,333125,0,3998,294607,34520,0,0,0,0
72,埃塞俄比亚,非洲,2021,08.30,False,1040,0,306117,0,4644,264008,37465,0,0,0,0
73,利比亚,非洲,2021,08.30,False,0,0,305793,0,4184,196714,104895,0,0,0,0
74,阿曼,亚洲,2021,08.30,False,0,0,302132,0,4057,282763,15312,0,0,0,0
75,立陶宛,欧洲,2021,08.30,False,0,0,297777,0,4539,270037,23201,0,0,0,0
76,埃及,非洲,2021,08.30,False,255,0,287899,0,16721,232179,38999,0,0,0,0
77,巴林,亚洲,2021,08.30,False,95,0,272341,0,1388,267220,3733,0,0,0,0
78,摩尔多瓦,欧洲,2021,08.30,False,204,0,266988,0,6394,252421,8173,0,0,0,0
79,斯洛文尼亚,欧洲,2021,08.30,False,0,0,266514,0,4448,254042,8024,0,0,0,0
80,韩国,亚洲,2021,08.30,False,1483,0,250051,0,2284,180719,67048,0,0,0,0
81,亚美尼亚,亚洲,2021,08.30,False,0,0,241336,0,4823,220617,15896,0,0,0,0
82,肯尼亚,非洲,2021,08.30,False,363,0,234952,0,4710,191188,39054,0,0,0,0
83,卡塔尔,亚洲,2021,08.30,False,179,0,232366,0,602,224384,7380,0,0,0,0
84,波黑,欧洲,2021,08.30,False,0,0,212306,0,9785,190492,12029,0,0,0,0
85,蒙古,亚洲,2021,08.30,False,2209,0,211080,0,931,169851,40298,0,0,0,0
86,赞比亚,非洲,2021,08.30,False,0,0,206051,0,3596,190279,12176,0,0,0,0
87,阿尔及利亚,非洲,2021,08.30,False,491,0,195162,0,5209,118409,71544,0,0,0,0
88,尼日利亚,非洲,2021,08.30,False,362,0,191345,0,2454,165208,23683,0,0,0,0
89,吉尔吉斯斯坦,亚洲,2021,08.30,False,0,0,175437,0,2518,152402,20517,0,0,0,0
90,北马其顿,欧洲,2021,08.30,False,663,0,175330,0,5869,150470,18991,0,0,0,0
91,挪威,欧洲,2021,08.30,False,907,0,157040,0,814,17998,138228,0,0,0,0
92,乌兹别克斯坦,亚洲,2021,08.30,False,0,0,154844,0,1070,127309,26465,0,0,0,0
93,博茨瓦纳,非洲,2021,08.30,False,0,0,153793,0,2213,96964,54616,0,0,0,0
94,阿富汗,亚洲,2021,08.30,False,0,0,152960,0,7101,82586,63273,0,0,0,0
95,莫桑比克,非洲,2021,08.30,False,139,0,145863,0,1851,100912,43100,0,0,0,0
96,阿尔巴尼亚,欧洲,2021,08.30,False,768,0,144847,0,2492,130314,12041,0,0,0,0
97,拉脱维亚,欧洲,2021,08.30,False,0,0,142319,0,2573,135795,3951,0,0,0,0
98,爱沙尼亚,欧洲,2021,08.30,False,0,0,141344,0,1289,129312,10743,0,0,0,0
99,芬兰,欧洲,2021,08.30,False,0,0,126093,0,1024,46000,79069,0,0,0,0
100,纳米比亚,非洲,2021,08.30,False,0,0,124716,0,3372,96891,24453,0,0,0,0
101,津巴布韦,非洲,2021,08.30,False,70,0,124437,0,4401,82994,37042,0,0,0,0
102,乌干达,非洲,2021,08.30,False,0,0,119732,0,2991,87633,29108,0,0,0,0
103,加纳,非洲,2021,08.30,False,0,0,117636,0,1008,98814,17814,0,0,0,0
104,黑山,欧洲,2021,08.30,False,556,0,114364,0,1716,99216,13432,0,0,0,0
105,塞浦路斯,亚洲,2021,08.30,False,208,0,113277,0,499,39061,73717,0,0,0,0
106,萨尔瓦多,北美洲,2021,08.30,False,0,0,94060,0,2898,76670,14492,0,0,0,0
107,柬埔寨,亚洲,2021,08.30,False,0,0,92208,0,1881,73421,16906,0,0,0,0
108,卢旺达,非洲,2021,08.30,False,371,0,86613,0,1079,44911,40623,0,0,0,0
109,喀麦隆,非洲,2021,08.30,False,0,0,83425,0,1350,35261,46814,0,0,0,0
110,马尔代夫,亚洲,2021,08.30,False,113,0,80791,0,226,75095,5470,0,0,0,0
