,date,俄罗斯,美国,英国,法国,中国,俄罗斯k,中国k,美国k,英国k,法国k
0,1.20,0,0,0,0,123722.0,0,0.0,0,0,0
1,1.21,0,0,0,0,123808.0,0,86.0,0,0,0
2,1.22,0,0,0,0,123904.0,0,96.0,0,0,0
3,1.23,0,0,0,0,123961.0,0,57.0,0,0,0
4,1.24,0,0,0,0,124038.0,0,77.0,0,0,0
5,1.25,0,0,0,0,124102.0,0,64.0,0,0,0
6,1.26,0,0,0,0,124185.0,0,83.0,0,0,0
7,1.27,0,0,0,0,124232.0,0,47.0,0,0,0
8,01.28,0,5,0,3,124283.0,0,51.0,5,0,3
9,01.29,0,5,0,4,124348.0,0,65.0,0,0,1
10,01.30,0,6,0,6,124403.0,0,55.0,1,0,2
11,01.31,2,6,2,6,124447.0,2,44.0,0,2,0
12,02.01,2,7,2,6,124498.0,0,51.0,1,0,0
13,02.02,2,8,2,6,124542.0,0,44.0,1,0,0
14,02.03,2,11,2,6,124591.0,0,49.0,3,0,0
15,02.04,2,11,2,6,124629.0,0,38.0,0,0,0
16,02.05,2,11,2,6,124673.0,0,44.0,0,0,0
17,02.06,2,12,3,6,124729.0,0,56.0,1,1,0
18,02.07,2,12,3,6,124772.0,0,43.0,0,0,0
19,02.08,2,12,3,11,124805.0,0,33.0,0,0,5
20,02.09,2,12,3,11,124843.0,0,38.0,0,0,0
21,02.10,2,12,8,11,124884.0,0,41.0,0,5,0
22,02.11,2,13,8,11,124920.0,0,36.0,1,0,0
23,02.12,2,13,8,11,124954.0,0,34.0,0,0,0
24,02.13,2,14,9,11,124987.0,0,33.0,1,1,0
25,02.14,2,15,9,11,125023.0,0,36.0,1,0,0
26,02.15,2,15,9,11,125055.0,0,32.0,0,0,0
27,02.16,2,15,9,12,125085.0,0,30.0,0,0,1
28,02.17,2,15,9,12,125115.0,0,30.0,0,0,0
29,02.18,2,15,9,12,125143.0,0,28.0,0,0,0
30,02.19,2,15,9,12,125162.0,0,19.0,0,0,0
31,02.20,2,15,9,12,125189.0,0,27.0,0,0,0
32,02.21,2,15,9,12,125226.0,0,37.0,0,0,0
33,02.22,2,34,9,12,125254.0,0,28.0,19,0,0
34,02.23,2,34,9,12,125284.0,0,30.0,0,0,0
35,02.24,2,35,13,12,125322.0,0,38.0,1,4,0
36,02.25,2,53,13,12,125351.0,0,29.0,18,0,0
37,02.26,2,57,13,17,125402.0,0,51.0,4,0,5
38,02.27,5,60,15,18,125462.0,3,60.0,3,2,1
39,02.28,5,60,19,41,125518.0,0,56.0,0,4,23
40,02.29,0,64,23,73,125565.0,-5,47.0,4,4,32
41,03.01,5,69,35,100,125620.0,5,55.0,5,12,27
42,03.02,6,89,40,130,125686.0,1,66.0,20,5,30
43,03.03,6,105,51,204,125738.0,0,52.0,16,11,74
44,03.04,6,126,85,257,125810.0,0,72.0,21,34,53
45,03.05,7,161,90,377,125898.0,1,88.0,35,5,120
46,03.06,13,234,163,423,125979.0,6,81.0,73,73,46
47,03.07,17,337,163,716,126078.0,4,99.0,103,0,293
48,03.08,17,455,319,949,126155.0,0,77.0,118,156,233
49,03.09,20,582,373,1209,126270.0,3,115.0,127,54,260
50,03.10,20,755,456,1606,126384.0,0,114.0,173,83,397
51,03.11,20,1052,590,1888,126471.0,0,87.0,297,134,282
52,03.12,28,1329,798,2370,126534.0,8,63.0,277,208,482
53,03.13,34,1880,1140,2889,126616.0,6,82.0,551,342,519
54,03.14,59,2236,1140,3667,126710.0,25,94.0,356,0,778
55,03.15,60,2943,1543,4500,126775.0,1,65.0,707,403,833
56,03.16,93,3774,1543,5400,126836.0,33,61.0,831,0,900
57,03.17,114,4687,2626,6633,126908.0,21,72.0,913,1083,1233
58,03.18,147,6522,2626,7730,127018.0,33,110.0,1835,0,1097
59,03.19,199,10259,3269,9134,127104.0,52,86.0,3737,643,1404
60,03.20,253,14365,3983,10995,,54,,4106,714,1861
61,03.21,306,20176,5027,12612,,53,,5811,1044,1617
62,03.22,367,26856,5683,14459,,61,,6680,656,1847
63,03.23,438,35224,6650,16680,,71,,8368,967,2221
64,03.24,498,46443,8077,19856,,60,,11219,1427,3176
65,03.25,658,55242,9529,22300,,160,,8799,1452,2444
66,03.26,840,69223,11658,25233,,182,,13981,2129,2933
67,03.27,1036,86043,14579,29155,,196,,16820,2921,3922
68,03.28,1264,104839,17089,33414,,228,,18796,2510,4259
69,03.29,1534,124676,19522,38105,,270,,19837,2433,4691
70,03.30,1836,143071,22141,40751,,302,,18395,2619,2646
71,03.31,2337,165874,22472,45232,,501,,22803,331,4481
72,04.01,2777,190089,29842,52836,,440,,24215,7370,7604
73,04.02,3548,217263,34123,57807,,771,,27174,4281,4971
74,04.03,4149,245658,38681,59929,,601,,28395,4558,2122
75,04.04,4731,278568,42433,83031,,582,,32910,3752,23102
76,04.05,5389,312481,48388,90863,,658,,33913,5955,7832
77,04.06,6343,337971,48451,93780,,954,,25490,63,2917
78,04.07,7497,369069,52302,98984,,1154,,31098,3851,5204
79,04.08,8672,399979,55957,110070,,1175,,30910,3655,11086
80,04.09,10131,432579,61497,112950,,1459,,32600,5540,2880
81,04.10,11917,467184,65872,118790,,1786,,34605,4375,5840
82,04.11,13584,501701,79841,125931,,1667,,34517,13969,7141
83,04.12,15770,530830,85173,130730,,2186,,29129,5332,4799
84,04.13,18328,558999,89554,133685,,2558,,28169,4381,2955
85,04.14,21102,583220,94823,137887,,2774,,24221,5269,4202
86,04.15,24490,609995,99455,143303,,3388,,26775,4632,5416
87,04.16,27938,640014,104133,147863,,3448,,30019,4678,4560
88,04.17,32008,672293,104145,147969,,4070,,32279,12,106
89,04.18,36793,706856,115299,149146,,4785,,34563,11154,1177
90,04.19,42853,735366,121168,152978,,6060,,28510,5869,3832
91,04.20,47121,760570,121174,154098,,4268,,25204,6,1120
92,04.21,52763,788920,125856,156495,,5642,,28350,4682,2397
93,04.22,57999,826248,134635,159315,,5236,,37328,8779,2820
94,04.23,62773,843981,139243,157135,,4774,,17733,4608,-2180
95,04.24,68622,871285,144632,159495,,5849,,27304,5389,2360
96,04.25,74588,907096,149554,159952,,5966,,35811,4922,457
97,04.26,80949,941628,149569,161665,,6361,,34532,15,1713
98,04.27,87147,967585,154038,162220,,6198,,25957,4469,555
99,04.28,93558,990135,158353,166036,,6411,,22550,4315,3816
100,04.29,99399,1015289,162350,169053,,5841,,25154,3997,3017
101,04.30,106498,1043595,166443,166628,,7099,,28306,4093,-2425
102,05.01,114431,1095023,172481,167301,,7933,,51428,6038,673
103,05.02,124054,1131030,178689,167305,,9623,,36007,6208,4
104,05.03,124054,1160774,183500,168517,,0,,29744,4811,1212
105,05.04,145268,1188122,187842,168925,,21214,,27348,4342,408
106,05.05,155370,1212835,191832,169583,,10102,,24713,3990,658
107,05.06,165929,1237633,196244,170694,,10559,,24798,4412,1111
108,05.07,177160,1263092,202359,174224,,11231,,25459,6115,3530
109,05.08,187859,1292623,207977,174918,,10699,,29531,5618,694
110,05.09,198676,1321785,216525,176202,,10817,,29162,8548,1284
111,05.10,209688,1347309,216526,176782,,11012,,25524,1,580
112,05.11,221344,1367638,224327,177094,,11656,,20329,7801,312
113,05.12,232243,1385834,227735,177547,,10899,,18196,3408,453
114,05.13,242271,1408636,230984,178349,,10028,,22802,3249,802
115,05.14,252245,1430348,234431,178184,,9974,,21712,3447,-165
116,05.15,262843,1457593,238001,178994,,10598,,27245,3570,810
117,05.16,272043,1484285,241454,179630,,9200,,26692,3453,636
118,05.17,281752,1507773,241461,179630,,9709,,23488,7,0
119,05.18,290678,1527664,244995,179693,,8926,,19891,3534,63
120,05.19,299941,1550294,247709,180051,,9263,,22630,2714,358
121,05.20,308705,1570583,250141,180934,,8764,,20289,2432,883
122,05.21,317554,1592723,252234,181700,,8849,,22140,2093,766
123,05.22,326448,1620897,252246,181951,,8894,,28174,12,251
124,05.23,335882,1644979,255544,182018,,9434,,24082,3298,67
125,05.24,344481,1666828,258511,182036,,8599,,21849,2967,18
126,05.25,353427,1686436,260916,182709,,8946,,19608,2405,673
127,05.26,362342,1706226,266590,183067,,8915,,19790,5674,358
128,05.27,370680,1725275,268615,182847,,8338,,19049,2025,-220
129,05.28,379051,1745803,268620,183038,,8371,,20528,5,191
