,date,俄罗斯,美国,英国,法国
0,01.28,0,5,0,3
1,01.29,0,5,0,4
2,01.30,0,6,0,6
3,01.31,2,6,2,6
4,02.01,2,7,2,6
5,02.02,2,8,2,6
6,02.03,2,11,2,6
7,02.04,2,11,2,6
8,02.05,2,11,2,6
9,02.06,2,12,3,6
10,02.07,2,12,3,6
11,02.08,2,12,3,11
12,02.09,2,12,3,11
13,02.10,2,12,8,11
14,02.11,2,13,8,11
15,02.12,2,13,8,11
16,02.13,2,14,9,11
17,02.14,2,15,9,11
18,02.15,2,15,9,11
19,02.16,2,15,9,12
20,02.17,2,15,9,12
21,02.18,2,15,9,12
22,02.19,2,15,9,12
23,02.20,2,15,9,12
24,02.21,2,15,9,12
25,02.22,2,34,9,12
26,02.23,2,34,9,12
27,02.24,2,35,13,12
28,02.25,2,53,13,12
29,02.26,2,57,13,17
30,02.27,5,60,15,18
31,02.28,5,60,19,41
32,02.29,0,64,23,73
33,03.01,5,69,35,100
34,03.02,6,89,40,130
35,03.03,6,105,51,204
36,03.04,6,126,85,257
37,03.05,7,161,90,377
38,03.06,13,234,163,423
39,03.07,17,337,163,716
40,03.08,17,455,319,949
41,03.09,20,582,373,1209
42,03.10,20,755,456,1606
43,03.11,20,1052,590,1888
44,03.12,28,1329,798,2370
45,03.13,34,1880,1140,2889
46,03.14,59,2236,1140,3667
47,03.15,60,2943,1543,4500
48,03.16,93,3774,1543,5400
49,03.17,114,4687,2626,6633
50,03.18,147,6522,2626,7730
51,03.19,199,10259,3269,9134
52,03.20,253,14365,3983,10995
53,03.21,306,20176,5027,12612
54,03.22,367,26856,5683,14459
55,03.23,438,35224,6650,16680
56,03.24,498,46443,8077,19856
57,03.25,658,55242,9529,22300
58,03.26,840,69223,11658,25233
59,03.27,1036,86043,14579,29155
60,03.28,1264,104839,17089,33414
61,03.29,1534,124676,19522,38105
62,03.30,1836,143071,22141,40751
63,03.31,2337,165874,22472,45232
64,04.01,2777,190089,29842,52836
65,04.02,3548,217263,34123,57807
66,04.03,4149,245658,38681,59929
67,04.04,4731,278568,42433,83031
68,04.05,5389,312481,48388,90863
69,04.06,6343,337971,48451,93780
70,04.07,7497,369069,52302,98984
71,04.08,8672,399979,55957,110070
72,04.09,10131,432579,61497,112950
73,04.10,11917,467184,65872,118790
74,04.11,13584,501701,79841,125931
75,04.12,15770,530830,85173,130730
76,04.13,18328,558999,89554,133685
77,04.14,21102,583220,94823,137887
78,04.15,24490,609995,99455,143303
79,04.16,27938,640014,104133,147863
80,04.17,32008,672293,104145,147969
81,04.18,36793,706856,115299,149146
82,04.19,42853,735366,121168,152978
83,04.20,47121,760570,121174,154098
84,04.21,52763,788920,125856,156495
85,04.22,57999,826248,134635,159315
86,04.23,62773,843981,139243,157135
87,04.24,68622,871285,144632,159495
88,04.25,74588,907096,149554,159952
89,04.26,80949,941628,149569,161665
90,04.27,87147,967585,154038,162220
91,04.28,93558,990135,158353,166036
92,04.29,99399,1015289,162350,169053
93,04.30,106498,1043595,166443,166628
94,05.01,114431,1095023,172481,167301
95,05.02,124054,1131030,178689,167305
96,05.03,124054,1160774,183500,168517
97,05.04,145268,1188122,187842,168925
98,05.05,155370,1212835,191832,169583
99,05.06,165929,1237633,196244,170694
100,05.07,177160,1263092,202359,174224
101,05.08,187859,1292623,207977,174918
102,05.09,198676,1321785,216525,176202
103,05.10,209688,1347309,216526,176782
104,05.11,221344,1367638,224327,177094
105,05.12,232243,1385834,227735,177547
106,05.13,242271,1408636,230984,178349
107,05.14,252245,1430348,234431,178184
108,05.15,262843,1457593,238001,178994
109,05.16,272043,1484285,241454,179630
110,05.17,281752,1507773,241461,179630
111,05.18,290678,1527664,244995,179693
112,05.19,299941,1550294,247709,180051
113,05.20,308705,1570583,250141,180934
114,05.21,317554,1592723,252234,181700
115,05.22,326448,1620897,252246,181951
116,05.23,335882,1644979,255544,182018
117,05.24,344481,1666828,258511,182036
118,05.25,353427,1686436,260916,182709
119,05.26,362342,1706226,266590,183067
120,05.27,370680,1725275,268615,182847
121,05.28,379051,1745803,268620,183038
122,05.29,387623,1768461,270511,186364
123,05.30,396575,1793530,272615,186924
124,05.31,405843,1816820,276156,188752
125,06.01,414878,1837170,276156,189010
126,06.02,423186,1859323,277738,189348
127,06.03,423186,1881205,279392,188450
128,06.04,440538,1901783,281270,188802
129,06.05,449256,1924051,284730,189569
130,06.06,458102,1965708,286292,190180
131,06.07,467073,1988544,287621,190759
132,06.08,476043,2007449,288827,191102
133,06.09,484630,2026493,288834,191313
134,06.10,493023,2045549,290581,191523
135,06.11,501800,2066401,292854,192068
136,06.12,510761,2089701,294401,192493
